Показник,Територіальний розріз,Напрям природоохоронної діяльності,Вид економічної діяльності,Періодичність,Період,Значення cпостереження
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,41411000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,219700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,54000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,45000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,213500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2021,79958800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2022,55262100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2023,100794300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2024,53217500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2025,83835800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2021,2853900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2022,1020900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2023,564600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2024,1217800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2025,1846800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,5143200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,100000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,58000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,102500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,227700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Зниження шумового та вібраційного впливу,Усього,Річна,2021,44800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Зниження шумового та вібраційного впливу,Усього,Річна,2022,5600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Зниження шумового та вібраційного впливу,Усього,Річна,2023,2800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Зниження шумового та вібраційного впливу,Усього,Річна,2024,343800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,2244611600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,787006700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,858836400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,747757800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,168357600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2021,1538100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2022,700000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2023,2214000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2024,2588100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2025,305800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Поводження з відходами,Усього,Річна,2021,2495054900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Поводження з відходами,Усього,Річна,2022,2199623800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Поводження з відходами,Усього,Річна,2023,2357316100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Поводження з відходами,Усього,Річна,2024,2166229800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Поводження з відходами,Усього,Річна,2025,3118131600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,1336479400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,464334200.0
