Показник,Територіальний розріз,Напрям природоохоронної діяльності,Вид економічної діяльності,Періодичність,Період,Значення cпостереження
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,56000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,81800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,86800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,170973300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,5675900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,1299000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Очищення зворотних вод,Усього,Річна,2021,7358800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Очищення зворотних вод,Усього,Річна,2022,49800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Очищення зворотних вод,Усього,Річна,2023,14940100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Херсонська,Очищення зворотних вод,Усього,Річна,2024,68653900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Радіаційна безпека,Усього,Річна,2023,22600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,1215500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,881000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,684700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,793400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,320500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Очищення зворотних вод,Усього,Річна,2021,23783100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Очищення зворотних вод,Усього,Річна,2022,24039100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Очищення зворотних вод,Усього,Річна,2023,32972600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Очищення зворотних вод,Усього,Річна,2024,35122100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Очищення зворотних вод,Усього,Річна,2025,27167800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Поводження з відходами,Усього,Річна,2021,6899000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Поводження з відходами,Усього,Річна,2022,16127700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Поводження з відходами,Усього,Річна,2023,39467900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Поводження з відходами,Усього,Річна,2024,94663900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Поводження з відходами,Усього,Річна,2025,50238600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2024,21100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2025,15900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Зниження шумового та вібраційного впливу,Усього,Річна,2021,5500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Інші напрями природоохоронної діяльності,Усього,Річна,2021,295000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Інші напрями природоохоронної діяльності,Усього,Річна,2025,294900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,17524200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,7700000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,513200.00000000006
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,38494500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,19929500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,15900700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,4982000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Хмельницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,2717900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Інші напрями природоохоронної діяльності,Усього,Річна,2021,37600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,298700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,145500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Очищення зворотних вод,Усього,Річна,2021,9628100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Очищення зворотних вод,Усього,Річна,2022,14146700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Очищення зворотних вод,Усього,Річна,2023,48457300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Очищення зворотних вод,Усього,Річна,2024,46917700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Очищення зворотних вод,Усього,Річна,2025,14753100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,1172000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,10439100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,1124100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,7323600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,6357200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Радіаційна безпека,Усього,Річна,2022,2300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,236600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,194000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,653000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Поводження з відходами,Усього,Річна,2021,3378600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Поводження з відходами,Усього,Річна,2022,5025700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Поводження з відходами,Усього,Річна,2023,12746300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Поводження з відходами,Усього,Річна,2024,24051300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Черкаська,Поводження з відходами,Усього,Річна,2025,9911100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,25735200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,2213200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,18154700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,12815300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,25023400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2025,92600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,61600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,1241700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,965800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,927500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,3016200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Поводження з відходами,Усього,Річна,2021,2928800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Поводження з відходами,Усього,Річна,2022,7038500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Поводження з відходами,Усього,Річна,2023,5016900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Поводження з відходами,Усього,Річна,2024,14636000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Поводження з відходами,Усього,Річна,2025,19464400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Очищення зворотних вод,Усього,Річна,2021,4214100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Очищення зворотних вод,Усього,Річна,2022,9382100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Очищення зворотних вод,Усього,Річна,2023,14087300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Очищення зворотних вод,Усього,Річна,2024,14004800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Очищення зворотних вод,Усього,Річна,2025,11503100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,4677400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,4705800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,554500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,580900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернівецька,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,3279800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,1183100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,243800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,532200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,418200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,1100300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Очищення зворотних вод,Усього,Річна,2021,20044000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Очищення зворотних вод,Усього,Річна,2022,12176600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Очищення зворотних вод,Усього,Річна,2023,89491900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Очищення зворотних вод,Усього,Річна,2024,37089300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Очищення зворотних вод,Усього,Річна,2025,30013600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,11196500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,10904900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,1868800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,681800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,2339300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,62800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,41200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,573000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,161700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,54316700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Поводження з відходами,Усього,Річна,2021,2191700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Поводження з відходами,Усього,Річна,2022,3001400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Поводження з відходами,Усього,Річна,2023,5134200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Поводження з відходами,Усього,Річна,2024,16171100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Чернігівська,Поводження з відходами,Усього,Річна,2025,5632900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Радіаційна безпека,Усього,Річна,2021,160848800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Радіаційна безпека,Усього,Річна,2022,809300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Радіаційна безпека,Усього,Річна,2023,138222600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Радіаційна безпека,Усього,Річна,2024,7817200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Очищення зворотних вод,Усього,Річна,2021,424718300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Очищення зворотних вод,Усього,Річна,2022,92991200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Очищення зворотних вод,Усього,Річна,2023,253896800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Очищення зворотних вод,Усього,Річна,2024,317815900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Очищення зворотних вод,Усього,Річна,2025,385522000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,32052600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,9883600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,51517400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,98749800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,49674300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Поводження з відходами,Усього,Річна,2021,147385600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Поводження з відходами,Усього,Річна,2022,117477300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Поводження з відходами,Усього,Річна,2023,239298900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Поводження з відходами,Усього,Річна,2024,94756800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Поводження з відходами,Усього,Річна,2025,175128400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,360996800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,281169100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,306992600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,277181200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,257479200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Зниження шумового та вібраційного впливу,Усього,Річна,2021,1100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Зниження шумового та вібраційного впливу,Усього,Річна,2025,181500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Інші напрями природоохоронної діяльності,Усього,Річна,2021,1914200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Інші напрями природоохоронної діяльності,Усього,Річна,2022,1695000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Інші напрями природоохоронної діяльності,Усього,Річна,2023,2138500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Інші напрями природоохоронної діяльності,Усього,Річна,2024,967600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Інші напрями природоохоронної діяльності,Усього,Річна,2025,67800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2021,3309300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2022,2365600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2023,6400200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2024,4482900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2025,507700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,63999300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,46798600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,414177900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,89429700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Київ,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,121181900.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2021,138414800.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2022,161762300.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2023,162850900.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2024,178491900.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2025,183259600.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Радіаційна безпека,Усього,Річна,2021,32500.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Радіаційна безпека,Усього,Річна,2022,30600.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Радіаційна безпека,Усього,Річна,2023,34300.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Радіаційна безпека,Усього,Річна,2025,38300.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,3756800.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,7768000.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,1014700.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,22124400.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,1230200.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2021,204351000.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2022,267088300.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2023,292827100.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2024,337082700.0
Поточні витрати на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2025,378007600.0
